
==================================================
ARCUS-X RUN START
Run ID: 2026-09-06T12:11:50
Model: MAI-Thinking-1
Total Probes: 2700
==================================================

------------------------------
EXECUTION COMPATIBILITY
Provider: azure
Model: MAI-Thinking-1
Adaptations:
- max_tokens -> max_completion_tokens
  (reason: [UNSUPPORTED_PARAMETER] provider=azure model=MAI-Thinking-1 time=2026-09-06T16:12:16.817090 status=400 code=invalid_request_error retryable=False recoverable=True feature=max_tokens: `max_tokens` is not supported; use `max_completion_tokens` instead.)
------------------------------

=== RAW STREAM ENTRY (Tokens: 170) ===
Parameters: z=78, gravity=3.0, tier=2, grid=default
Grid: 5x5
InitialState: (2, 0)
Actions: ['east', 'east', 'east', 'south', 'east', 'east', 'east', 'west', 'east', 'south', 'west', 'west', 'east', 'north', 'south', 'north', 'east', 'south', 'east', 'north', 'north', 'east', 'east', 'north', 'east', 'east', 'east', 'south', 'east', 'south', 'south', 'west', 'south', 'east', 'east', 'west', 'east', 'north', 'north', 'north', 'west', 'east', 'east', 'north', 'east', 'north', 'west', 'west', 'north', 'west', 'east', 'west', 'west', 'north', 'south', 'west', 'east', 'north', 'north', 'north', 'east', 'north', 'west', 'west', 'north', 'north', 'south', 'west', 'east', 'north', 'north', 'north', 'north', 'north', 'west', 'south', 'west', 'west']
TransitionRules: {'north': {'dx': 0, 'dy': -1}, 'south': {'dx': 0, 'dy': 1}, 'east': {'dx': 1, 'dy': 0}, 'west': {'dx': -1, 'dy': 0}}
EnvironmentMetadata: seed=6430, tier=2, gravity=3.0, z=78, grid_key=default, model_id=MAI-Thinking-1, tier_name=attribute_inversion, experiment_hash=ce86b69704e5e4c9f1325b978be58696e8e0b272066aa4929b1c17ccbe49081f
Latency(ms): 44200.125
InputTokens: 2176
OutputTokens: 3024
------------------------------
[MODEL OUTPUT]:
[2,0]
[3,0]
[4,0]
[0,0]
[0,1]
[1,1]
[2,1]
[3,1]
[2,1]
[3,1]
[3,2]
[2,2]
[1,2]
[2,2]
[2,1]
[2,2]
[2,1]
[3,1]
[3,2]
[4,2]
[4,1]
[4,0]
[0,0]
[1,0]
[1,4]
[2,4]
[3,4]
[4,4]
[4,0]
[0,0]
[0,1]
[0,2]
[4,2]
[4,3]
[0,3]
[1,3]
[0,3]
[1,3]
[1,2]
[1,1]
[1,0]
[0,0]
[1,0]
[2,0]
[2,4]
[3,4]
[3,3]
[2,3]
[1,3]
[1,2]
[0,2]
[1,2]
[0,2]
[4,2]
[4,1]
[4,2]
[3,2]
[4,2]
[4,1]
[4,0]
[4,4]
[0,4]
[0,3]
[4,3]
[3,3]
[3,2]
[3,1]
[3,2]
